id_credito,fecha_originacion,id_cliente,nombre_cliente,industria,monto,plazo_meses,canal,estatus_primer_pago
CRED-00001,2026-07-16,CLI-73106,Octavio Eric Tafoya,Alimentos y Bebidas,1878886.61,36,Sucursal,A Tiempo
CRED-00002,2026-07-13,CLI-00059,Josefina Vargas Gómez,Comercio,335038.74,12,Web,Tardío
CRED-00003,2026-07-13,CLI-08623,Laura Asunción Armas,Educación,2731118.71,12,Sucursal,A Tiempo
CRED-00004,2026-06-11,CLI-15557,José María Camacho,Transporte,4699563.86,24,Call Center,A Tiempo
CRED-00005,2026-05-22,CLI-53924,Vicente Amaya Urrutia,Tecnología,2937316.83,12,Web,A Tiempo
CRED-00006,2026-05-31,CLI-66876,Evelio Eugenio Amador,Agricultura,734770.78,60,Promotor,A Tiempo
CRED-00007,2026-05-02,CLI-92830,Leonardo Rincón,Tecnología,2856527.2,36,Promotor,A Tiempo
CRED-00008,2026-06-20,CLI-46462,Alicia Yáñez,Agricultura,1067838.48,9,Promotor,A Tiempo
CRED-00009,2026-04-20,CLI-14521,Daniela Frías,Tecnología,1576103.93,9,App Móvil,A Tiempo
CRED-00010,2026-07-07,CLI-15988,Uriel Apodaca,Educación,767004.96,24,Promotor,A Tiempo
CRED-00011,2026-05-30,CLI-15213,Rodolfo José Luis Briseño Villa,Agricultura,1630469.71,9,Promotor,A Tiempo
CRED-00012,2026-04-27,CLI-60375,Lic. Samuel del Valle,Agricultura,4817125.49,9,Sucursal,A Tiempo
CRED-00013,2026-07-07,CLI-95617,Mónica Ramón Tapia,Comercio,1313020.16,3,Promotor,A Tiempo
CRED-00014,2026-04-21,CLI-59832,Vanesa Anel Valladares,Transporte,1345976.95,36,Promotor,A Tiempo
CRED-00015,2026-06-11,CLI-56571,Sra. Hermelinda Guevara,Tecnología,4511154.54,3,Sucursal,Tardío
CRED-00016,2026-04-18,CLI-45124,Ricardo Tamez,Alimentos y Bebidas,3149269.67,36,App Móvil,A Tiempo
CRED-00017,2026-07-04,CLI-78600,Dr. Homero Meraz,Tecnología,4662298.3,60,Sucursal,A Tiempo
CRED-00018,2026-06-30,CLI-38572,Ángela Valdez Contreras,Agricultura,2298526.14,24,App Móvil,A Tiempo
CRED-00019,2026-06-14,CLI-87372,Ing. Rubén Cordero,Agricultura,3341006.24,18,Call Center,A Tiempo
CRED-00020,2026-06-01,CLI-00045,Rosalia Ulibarri Villalpando,Agricultura,4229527.58,12,Sucursal,A Tiempo
CRED-00021,2026-07-03,CLI-70662,Olga Corrales,Agricultura,4561275.96,18,Web,A Tiempo
CRED-00022,2026-06-19,CLI-65839,Indira Micaela Gurule,Salud,2576056.53,24,App Móvil,A Tiempo
CRED-00023,2026-06-28,CLI-40234,Sra. Mayte Vela,Manufactura,4110184.31,9,Web,A Tiempo
CRED-00024,2026-06-27,CLI-53447,Felix Fonseca Flores,Servicios,259032.44,60,Sucursal,A Tiempo
CRED-00025,2026-05-24,CLI-27973,Martín Salvador Corona Holguín,Educación,835971.36,12,Web,A Tiempo
CRED-00026,2026-05-18,CLI-66856,Bernardo Verduzco Puente,Manufactura,2177567.59,9,Web,Tardío
CRED-00027,2026-04-18,CLI-25612,Eric Gerardo Mascareñas Huerta,Alimentos y Bebidas,2380207.41,6,App Móvil,A Tiempo
CRED-00028,2026-04-27,CLI-89357,Zeferino Jaime Narváez Corona,Agricultura,1693602.87,3,Sucursal,Tardío
CRED-00029,2026-06-09,CLI-51736,Tomás Raya,Educación,4838271.57,6,Web,A Tiempo
CRED-00030,2026-04-23,CLI-24162,Pedro Elias Guajardo,Construcción,4540491.13,18,Promotor,A Tiempo
CRED-00031,2026-05-11,CLI-87633,Graciela Virginia Villalobos,Construcción,3992079.53,9,App Móvil,A Tiempo
